timestamp,index,name,memory_used_mib,memory_free_mib,memory_total_mib,memory_utilization_percent,gpu_utilization_percent 
2026/07/28 16:40:03.884, 0, NVIDIA GeForce RTX 3080, 1299, 8753, 10240, 1, 0
2026/07/28 16:40:03.993, 0, NVIDIA GeForce RTX 3080, 1299, 8753, 10240, 1, 0
2026/07/28 16:40:04.102, 0, NVIDIA GeForce RTX 3080, 1318, 8734, 10240, 1, 0
2026/07/28 16:40:04.211, 0, NVIDIA GeForce RTX 3080, 1488, 8564, 10240, 2, 15
2026/07/28 16:40:04.321, 0, NVIDIA GeForce RTX 3080, 1488, 8564, 10240, 2, 15
2026/07/28 16:40:04.429, 0, NVIDIA GeForce RTX 3080, 1488, 8564, 10240, 2, 15
2026/07/28 16:40:04.538, 0, NVIDIA GeForce RTX 3080, 4744, 5308, 10240, 2, 15
2026/07/28 16:40:04.647, 0, NVIDIA GeForce RTX 3080, 4744, 5308, 10240, 2, 15
2026/07/28 16:40:04.756, 0, NVIDIA GeForce RTX 3080, 4744, 5308, 10240, 2, 19
2026/07/28 16:40:04.864, 0, NVIDIA GeForce RTX 3080, 4744, 5308, 10240, 2, 19
2026/07/28 16:40:04.974, 0, NVIDIA GeForce RTX 3080, 4744, 5308, 10240, 2, 19
2026/07/28 16:40:05.082, 0, NVIDIA GeForce RTX 3080, 4744, 5308, 10240, 2, 19
2026/07/28 16:40:05.192, 0, NVIDIA GeForce RTX 3080, 4744, 5308, 10240, 2, 19
2026/07/28 16:40:05.302, 0, NVIDIA GeForce RTX 3080, 4744, 5308, 10240, 2, 13
2026/07/28 16:40:05.410, 0, NVIDIA GeForce RTX 3080, 4744, 5308, 10240, 2, 13
2026/07/28 16:40:05.520, 0, NVIDIA GeForce RTX 3080, 4744, 5308, 10240, 2, 13
2026/07/28 16:40:05.630, 0, NVIDIA GeForce RTX 3080, 5398, 4654, 10240, 2, 13
2026/07/28 16:40:05.739, 0, NVIDIA GeForce RTX 3080, 5434, 4618, 10240, 15, 53
2026/07/28 16:40:05.849, 0, NVIDIA GeForce RTX 3080, 5434, 4618, 10240, 15, 53
2026/07/28 16:40:05.956, 0, NVIDIA GeForce RTX 3080, 5434, 4618, 10240, 15, 53
2026/07/28 16:40:06.065, 0, NVIDIA GeForce RTX 3080, 5434, 4618, 10240, 15, 53
2026/07/28 16:40:06.175, 0, NVIDIA GeForce RTX 3080, 5434, 4618, 10240, 15, 53
2026/07/28 16:40:06.283, 0, NVIDIA GeForce RTX 3080, 5434, 4618, 10240, 44, 94
2026/07/28 16:40:06.393, 0, NVIDIA GeForce RTX 3080, 5434, 4618, 10240, 44, 94
2026/07/28 16:40:06.502, 0, NVIDIA GeForce RTX 3080, 5434, 4618, 10240, 44, 94
2026/07/28 16:40:06.611, 0, NVIDIA GeForce RTX 3080, 5434, 4618, 10240, 44, 94
2026/07/28 16:40:06.721, 0, NVIDIA GeForce RTX 3080, 5434, 4618, 10240, 44, 94
2026/07/28 16:40:06.830, 0, NVIDIA GeForce RTX 3080, 5434, 4618, 10240, 44, 94
2026/07/28 16:40:06.938, 0, NVIDIA GeForce RTX 3080, 5434, 4618, 10240, 44, 94
2026/07/28 16:40:07.048, 0, NVIDIA GeForce RTX 3080, 5434, 4618, 10240, 44, 94
2026/07/28 16:40:07.157, 0, NVIDIA GeForce RTX 3080, 5434, 4618, 10240, 44, 94
2026/07/28 16:40:07.266, 0, NVIDIA GeForce RTX 3080, 5434, 4618, 10240, 44, 94
2026/07/28 16:40:07.375, 0, NVIDIA GeForce RTX 3080, 5434, 4618, 10240, 44, 94
2026/07/28 16:40:07.483, 0, NVIDIA GeForce RTX 3080, 5434, 4618, 10240, 44, 94
2026/07/28 16:40:07.593, 0, NVIDIA GeForce RTX 3080, 5434, 4618, 10240, 44, 94
2026/07/28 16:40:07.702, 0, NVIDIA GeForce RTX 3080, 5434, 4618, 10240, 44, 94
2026/07/28 16:40:07.811, 0, NVIDIA GeForce RTX 3080, 5434, 4618, 10240, 44, 94
2026/07/28 16:40:07.921, 0, NVIDIA GeForce RTX 3080, 5434, 4618, 10240, 44, 94
2026/07/28 16:40:08.030, 0, NVIDIA GeForce RTX 3080, 5434, 4618, 10240, 44, 94
2026/07/28 16:40:08.139, 0, NVIDIA GeForce RTX 3080, 5434, 4618, 10240, 44, 94
2026/07/28 16:40:08.249, 0, NVIDIA GeForce RTX 3080, 5434, 4618, 10240, 44, 94
2026/07/28 16:40:08.358, 0, NVIDIA GeForce RTX 3080, 5434, 4618, 10240, 44, 94
2026/07/28 16:40:08.467, 0, NVIDIA GeForce RTX 3080, 5434, 4618, 10240, 44, 94
2026/07/28 16:40:08.576, 0, NVIDIA GeForce RTX 3080, 5434, 4618, 10240, 44, 94
2026/07/28 16:40:08.686, 0, NVIDIA GeForce RTX 3080, 5434, 4618, 10240, 44, 94
2026/07/28 16:40:08.794, 0, NVIDIA GeForce RTX 3080, 5434, 4618, 10240, 44, 94
2026/07/28 16:40:08.903, 0, NVIDIA GeForce RTX 3080, 5434, 4618, 10240, 44, 94
2026/07/28 16:40:09.013, 0, NVIDIA GeForce RTX 3080, 5434, 4618, 10240, 44, 94
2026/07/28 16:40:09.120, 0, NVIDIA GeForce RTX 3080, 5434, 4618, 10240, 44, 94
2026/07/28 16:40:09.229, 0, NVIDIA GeForce RTX 3080, 5434, 4618, 10240, 44, 94
2026/07/28 16:40:09.338, 0, NVIDIA GeForce RTX 3080, 5434, 4618, 10240, 44, 94
2026/07/28 16:40:09.448, 0, NVIDIA GeForce RTX 3080, 5434, 4618, 10240, 44, 94
2026/07/28 16:40:09.557, 0, NVIDIA GeForce RTX 3080, 5434, 4618, 10240, 44, 94
2026/07/28 16:40:09.666, 0, NVIDIA GeForce RTX 3080, 5434, 4618, 10240, 44, 94
2026/07/28 16:40:09.774, 0, NVIDIA GeForce RTX 3080, 5434, 4618, 10240, 44, 94
2026/07/28 16:40:09.883, 0, NVIDIA GeForce RTX 3080, 5434, 4618, 10240, 44, 94
2026/07/28 16:40:09.991, 0, NVIDIA GeForce RTX 3080, 5434, 4618, 10240, 44, 94
2026/07/28 16:40:10.100, 0, NVIDIA GeForce RTX 3080, 5434, 4618, 10240, 44, 94
2026/07/28 16:40:10.208, 0, NVIDIA GeForce RTX 3080, 5434, 4618, 10240, 44, 94
