timestamp,index,name,memory_used_mib,memory_free_mib,memory_total_mib,memory_utilization_percent,gpu_utilization_percent 
2026/08/03 09:28:29.621, 0, NVIDIA GeForce RTX 3080, 926, 9126, 10240, 0, 0
2026/08/03 09:28:29.730, 0, NVIDIA GeForce RTX 3080, 939, 9113, 10240, 0, 0
2026/08/03 09:28:29.839, 0, NVIDIA GeForce RTX 3080, 1115, 8937, 10240, 0, 6
2026/08/03 09:28:29.948, 0, NVIDIA GeForce RTX 3080, 1115, 8937, 10240, 0, 6
2026/08/03 09:28:30.057, 0, NVIDIA GeForce RTX 3080, 4889, 5163, 10240, 0, 6
2026/08/03 09:28:30.166, 0, NVIDIA GeForce RTX 3080, 4889, 5163, 10240, 0, 6
2026/08/03 09:28:30.275, 0, NVIDIA GeForce RTX 3080, 4889, 5163, 10240, 0, 6
2026/08/03 09:28:30.385, 0, NVIDIA GeForce RTX 3080, 4889, 5163, 10240, 1, 13
2026/08/03 09:28:30.493, 0, NVIDIA GeForce RTX 3080, 4889, 5163, 10240, 1, 13
2026/08/03 09:28:30.602, 0, NVIDIA GeForce RTX 3080, 4889, 5163, 10240, 1, 13
2026/08/03 09:28:30.712, 0, NVIDIA GeForce RTX 3080, 4889, 5163, 10240, 1, 13
2026/08/03 09:28:30.820, 0, NVIDIA GeForce RTX 3080, 4889, 5163, 10240, 1, 13
2026/08/03 09:28:30.930, 0, NVIDIA GeForce RTX 3080, 4889, 5163, 10240, 1, 13
2026/08/03 09:28:31.040, 0, NVIDIA GeForce RTX 3080, 4889, 5163, 10240, 1, 13
2026/08/03 09:28:31.148, 0, NVIDIA GeForce RTX 3080, 4889, 5163, 10240, 1, 13
2026/08/03 09:28:31.257, 0, NVIDIA GeForce RTX 3080, 4889, 5163, 10240, 1, 13
2026/08/03 09:28:31.366, 0, NVIDIA GeForce RTX 3080, 7103, 2949, 10240, 1, 13
2026/08/03 09:28:31.474, 0, NVIDIA GeForce RTX 3080, 7167, 2885, 10240, 1, 13
2026/08/03 09:28:31.583, 0, NVIDIA GeForce RTX 3080, 7167, 2885, 10240, 1, 13
2026/08/03 09:28:31.692, 0, NVIDIA GeForce RTX 3080, 7167, 2885, 10240, 1, 13
2026/08/03 09:28:31.802, 0, NVIDIA GeForce RTX 3080, 7167, 2885, 10240, 55, 100
2026/08/03 09:28:31.912, 0, NVIDIA GeForce RTX 3080, 7167, 2885, 10240, 55, 100
2026/08/03 09:28:32.020, 0, NVIDIA GeForce RTX 3080, 7173, 2879, 10240, 55, 100
2026/08/03 09:28:32.130, 0, NVIDIA GeForce RTX 3080, 7173, 2879, 10240, 55, 100
2026/08/03 09:28:32.239, 0, NVIDIA GeForce RTX 3080, 7173, 2879, 10240, 55, 100
2026/08/03 09:28:32.347, 0, NVIDIA GeForce RTX 3080, 7173, 2879, 10240, 55, 100
2026/08/03 09:28:32.456, 0, NVIDIA GeForce RTX 3080, 7173, 2879, 10240, 55, 100
2026/08/03 09:28:32.566, 0, NVIDIA GeForce RTX 3080, 7173, 2879, 10240, 55, 100
2026/08/03 09:28:32.674, 0, NVIDIA GeForce RTX 3080, 7173, 2879, 10240, 55, 100
2026/08/03 09:28:32.784, 0, NVIDIA GeForce RTX 3080, 7173, 2879, 10240, 55, 100
2026/08/03 09:28:32.892, 0, NVIDIA GeForce RTX 3080, 7173, 2879, 10240, 55, 100
2026/08/03 09:28:33.001, 0, NVIDIA GeForce RTX 3080, 7173, 2879, 10240, 55, 100
2026/08/03 09:28:33.110, 0, NVIDIA GeForce RTX 3080, 7173, 2879, 10240, 55, 100
2026/08/03 09:28:33.218, 0, NVIDIA GeForce RTX 3080, 7173, 2879, 10240, 55, 100
2026/08/03 09:28:33.328, 0, NVIDIA GeForce RTX 3080, 7173, 2879, 10240, 55, 100
2026/08/03 09:28:33.437, 0, NVIDIA GeForce RTX 3080, 7173, 2879, 10240, 55, 100
2026/08/03 09:28:33.546, 0, NVIDIA GeForce RTX 3080, 7173, 2879, 10240, 55, 100
2026/08/03 09:28:33.654, 0, NVIDIA GeForce RTX 3080, 7173, 2879, 10240, 55, 100
2026/08/03 09:28:33.763, 0, NVIDIA GeForce RTX 3080, 7173, 2879, 10240, 55, 100
2026/08/03 09:28:33.872, 0, NVIDIA GeForce RTX 3080, 7173, 2879, 10240, 55, 100
2026/08/03 09:28:33.981, 0, NVIDIA GeForce RTX 3080, 7173, 2879, 10240, 55, 100
2026/08/03 09:28:34.090, 0, NVIDIA GeForce RTX 3080, 7173, 2879, 10240, 55, 100
2026/08/03 09:28:34.200, 0, NVIDIA GeForce RTX 3080, 7173, 2879, 10240, 55, 100
2026/08/03 09:28:34.309, 0, NVIDIA GeForce RTX 3080, 7173, 2879, 10240, 53, 98
2026/08/03 09:28:34.418, 0, NVIDIA GeForce RTX 3080, 7173, 2879, 10240, 53, 98
2026/08/03 09:28:34.528, 0, NVIDIA GeForce RTX 3080, 7173, 2879, 10240, 53, 98
2026/08/03 09:28:34.638, 0, NVIDIA GeForce RTX 3080, 7173, 2879, 10240, 53, 98
2026/08/03 09:28:34.746, 0, NVIDIA GeForce RTX 3080, 7173, 2879, 10240, 53, 98
2026/08/03 09:28:34.856, 0, NVIDIA GeForce RTX 3080, 7173, 2879, 10240, 30, 57
2026/08/03 09:28:34.965, 0, NVIDIA GeForce RTX 3080, 7173, 2879, 10240, 30, 57
2026/08/03 09:28:35.074, 0, NVIDIA GeForce RTX 3080, 7173, 2879, 10240, 30, 57
2026/08/03 09:28:35.184, 0, NVIDIA GeForce RTX 3080, 7173, 2879, 10240, 30, 57
2026/08/03 09:28:35.298, 0, NVIDIA GeForce RTX 3080, 7173, 2879, 10240, 28, 53
2026/08/03 09:28:35.405, 0, NVIDIA GeForce RTX 3080, 7173, 2879, 10240, 28, 53
2026/08/03 09:28:35.515, 0, NVIDIA GeForce RTX 3080, 7173, 2879, 10240, 28, 53
2026/08/03 09:28:35.624, 0, NVIDIA GeForce RTX 3080, 7173, 2879, 10240, 28, 53
2026/08/03 09:28:35.733, 0, NVIDIA GeForce RTX 3080, 7173, 2879, 10240, 28, 53
2026/08/03 09:28:35.843, 0, NVIDIA GeForce RTX 3080, 7173, 2879, 10240, 42, 77
2026/08/03 09:28:35.952, 0, NVIDIA GeForce RTX 3080, 7173, 2879, 10240, 42, 77
2026/08/03 09:28:36.061, 0, NVIDIA GeForce RTX 3080, 7173, 2879, 10240, 42, 77
2026/08/03 09:28:36.170, 0, NVIDIA GeForce RTX 3080, 7173, 2879, 10240, 42, 77
2026/08/03 09:28:36.278, 0, NVIDIA GeForce RTX 3080, 7173, 2879, 10240, 42, 77
2026/08/03 09:28:36.388, 0, NVIDIA GeForce RTX 3080, 7173, 2879, 10240, 55, 100
2026/08/03 09:28:36.497, 0, NVIDIA GeForce RTX 3080, 7173, 2879, 10240, 55, 100
2026/08/03 09:28:36.605, 0, NVIDIA GeForce RTX 3080, 7173, 2879, 10240, 55, 100
