model,prompt_tokens,batch_size,ubatch_size,n_gen,repetitions,bench_json,gpu_csv 
"LLMs\Llama-3.2-3B-Instruct-Q8_0.gguf",512,2048,512,0,100,"prefill-bench-results\Llama-3.2-3B-Instruct-Q8_0_p512_b2048_ub512_n0_r100.json","prefill-bench-results\Llama-3.2-3B-Instruct-Q8_0_p512_b2048_ub512_n0_r100.gpu.csv" 
"LLMs\Llama-3.2-3B-Instruct-Q8_0.gguf",512,2048,1024,0,100,"prefill-bench-results\Llama-3.2-3B-Instruct-Q8_0_p512_b2048_ub1024_n0_r100.json","prefill-bench-results\Llama-3.2-3B-Instruct-Q8_0_p512_b2048_ub1024_n0_r100.gpu.csv" 
"LLMs\Llama-3.2-3B-Instruct-Q8_0.gguf",512,2048,1536,0,100,"prefill-bench-results\Llama-3.2-3B-Instruct-Q8_0_p512_b2048_ub1536_n0_r100.json","prefill-bench-results\Llama-3.2-3B-Instruct-Q8_0_p512_b2048_ub1536_n0_r100.gpu.csv" 
"LLMs\Llama-3.2-3B-Instruct-Q8_0.gguf",512,2048,2048,0,100,"prefill-bench-results\Llama-3.2-3B-Instruct-Q8_0_p512_b2048_ub2048_n0_r100.json","prefill-bench-results\Llama-3.2-3B-Instruct-Q8_0_p512_b2048_ub2048_n0_r100.gpu.csv" 
"LLMs\Llama-3.2-3B-Instruct-Q8_0.gguf",768,2048,512,0,100,"prefill-bench-results\Llama-3.2-3B-Instruct-Q8_0_p768_b2048_ub512_n0_r100.json","prefill-bench-results\Llama-3.2-3B-Instruct-Q8_0_p768_b2048_ub512_n0_r100.gpu.csv" 
"LLMs\Llama-3.2-3B-Instruct-Q8_0.gguf",768,2048,1024,0,100,"prefill-bench-results\Llama-3.2-3B-Instruct-Q8_0_p768_b2048_ub1024_n0_r100.json","prefill-bench-results\Llama-3.2-3B-Instruct-Q8_0_p768_b2048_ub1024_n0_r100.gpu.csv" 
"LLMs\Llama-3.2-3B-Instruct-Q8_0.gguf",768,2048,1536,0,100,"prefill-bench-results\Llama-3.2-3B-Instruct-Q8_0_p768_b2048_ub1536_n0_r100.json","prefill-bench-results\Llama-3.2-3B-Instruct-Q8_0_p768_b2048_ub1536_n0_r100.gpu.csv" 
"LLMs\Llama-3.2-3B-Instruct-Q8_0.gguf",768,2048,2048,0,100,"prefill-bench-results\Llama-3.2-3B-Instruct-Q8_0_p768_b2048_ub2048_n0_r100.json","prefill-bench-results\Llama-3.2-3B-Instruct-Q8_0_p768_b2048_ub2048_n0_r100.gpu.csv" 
"LLMs\Llama-3.2-3B-Instruct-Q8_0.gguf",1024,2048,512,0,100,"prefill-bench-results\Llama-3.2-3B-Instruct-Q8_0_p1024_b2048_ub512_n0_r100.json","prefill-bench-results\Llama-3.2-3B-Instruct-Q8_0_p1024_b2048_ub512_n0_r100.gpu.csv" 
"LLMs\Llama-3.2-3B-Instruct-Q8_0.gguf",1024,2048,1024,0,100,"prefill-bench-results\Llama-3.2-3B-Instruct-Q8_0_p1024_b2048_ub1024_n0_r100.json","prefill-bench-results\Llama-3.2-3B-Instruct-Q8_0_p1024_b2048_ub1024_n0_r100.gpu.csv" 
