timestamp,index,name,memory_used_mib,memory_free_mib,memory_total_mib,memory_utilization_percent,gpu_utilization_percent 
2026/07/30 16:19:04.060, 0, NVIDIA GeForce RTX 3080, 1118, 8934, 10240, 0, 0
2026/07/30 16:19:04.171, 0, NVIDIA GeForce RTX 3080, 1128, 8924, 10240, 0, 0
2026/07/30 16:19:04.283, 0, NVIDIA GeForce RTX 3080, 1305, 8747, 10240, 0, 0
2026/07/30 16:19:04.394, 0, NVIDIA GeForce RTX 3080, 1305, 8747, 10240, 0, 0
2026/07/30 16:19:04.506, 0, NVIDIA GeForce RTX 3080, 3225, 6827, 10240, 0, 0
2026/07/30 16:19:04.618, 0, NVIDIA GeForce RTX 3080, 5079, 4973, 10240, 0, 0
2026/07/30 16:19:04.729, 0, NVIDIA GeForce RTX 3080, 5079, 4973, 10240, 0, 0
2026/07/30 16:19:04.841, 0, NVIDIA GeForce RTX 3080, 5079, 4973, 10240, 0, 0
2026/07/30 16:19:04.953, 0, NVIDIA GeForce RTX 3080, 5079, 4973, 10240, 0, 11
2026/07/30 16:19:05.065, 0, NVIDIA GeForce RTX 3080, 5079, 4973, 10240, 0, 11
2026/07/30 16:19:05.178, 0, NVIDIA GeForce RTX 3080, 5079, 4973, 10240, 0, 11
2026/07/30 16:19:05.289, 0, NVIDIA GeForce RTX 3080, 5079, 4973, 10240, 0, 11
2026/07/30 16:19:05.401, 0, NVIDIA GeForce RTX 3080, 5079, 4973, 10240, 0, 11
2026/07/30 16:19:05.513, 0, NVIDIA GeForce RTX 3080, 5079, 4973, 10240, 0, 8
2026/07/30 16:19:05.624, 0, NVIDIA GeForce RTX 3080, 5079, 4973, 10240, 0, 8
2026/07/30 16:19:05.734, 0, NVIDIA GeForce RTX 3080, 5079, 4973, 10240, 0, 8
2026/07/30 16:19:05.846, 0, NVIDIA GeForce RTX 3080, 5079, 4973, 10240, 0, 8
2026/07/30 16:19:05.958, 0, NVIDIA GeForce RTX 3080, 5079, 4973, 10240, 1, 12
2026/07/30 16:19:06.069, 0, NVIDIA GeForce RTX 3080, 5079, 4973, 10240, 1, 12
2026/07/30 16:19:06.181, 0, NVIDIA GeForce RTX 3080, 5389, 4663, 10240, 1, 12
2026/07/30 16:19:06.293, 0, NVIDIA GeForce RTX 3080, 5395, 4657, 10240, 1, 12
2026/07/30 16:19:06.405, 0, NVIDIA GeForce RTX 3080, 5395, 4657, 10240, 1, 12
2026/07/30 16:19:06.517, 0, NVIDIA GeForce RTX 3080, 5395, 4657, 10240, 63, 91
2026/07/30 16:19:06.628, 0, NVIDIA GeForce RTX 3080, 5395, 4657, 10240, 63, 91
2026/07/30 16:19:06.740, 0, NVIDIA GeForce RTX 3080, 5395, 4657, 10240, 63, 91
2026/07/30 16:19:06.852, 0, NVIDIA GeForce RTX 3080, 5395, 4657, 10240, 63, 91
2026/07/30 16:19:06.963, 0, NVIDIA GeForce RTX 3080, 5395, 4657, 10240, 67, 97
2026/07/30 16:19:07.074, 0, NVIDIA GeForce RTX 3080, 5395, 4657, 10240, 67, 97
2026/07/30 16:19:07.186, 0, NVIDIA GeForce RTX 3080, 5395, 4657, 10240, 67, 97
2026/07/30 16:19:07.298, 0, NVIDIA GeForce RTX 3080, 5395, 4657, 10240, 67, 97
