timestamp,index,name,memory_used_mib,memory_free_mib,memory_total_mib,memory_utilization_percent,gpu_utilization_percent 
2026/08/01 15:02:30.906, 0, NVIDIA GeForce RTX 3080, 1174, 8878, 10240, 0, 0
2026/08/01 15:02:31.018, 0, NVIDIA GeForce RTX 3080, 1174, 8878, 10240, 0, 0
2026/08/01 15:02:31.131, 0, NVIDIA GeForce RTX 3080, 1363, 8689, 10240, 0, 0
2026/08/01 15:02:31.244, 0, NVIDIA GeForce RTX 3080, 1363, 8689, 10240, 0, 16
2026/08/01 15:02:31.355, 0, NVIDIA GeForce RTX 3080, 1363, 8689, 10240, 0, 16
2026/08/01 15:02:31.465, 0, NVIDIA GeForce RTX 3080, 1363, 8689, 10240, 0, 16
2026/08/01 15:02:31.577, 0, NVIDIA GeForce RTX 3080, 4883, 5169, 10240, 0, 16
2026/08/01 15:02:31.684, 0, NVIDIA GeForce RTX 3080, 5441, 4611, 10240, 0, 16
2026/08/01 15:02:31.795, 0, NVIDIA GeForce RTX 3080, 5441, 4611, 10240, 5, 74
2026/08/01 15:02:31.905, 0, NVIDIA GeForce RTX 3080, 5441, 4611, 10240, 5, 74
2026/08/01 15:02:32.016, 0, NVIDIA GeForce RTX 3080, 5441, 4611, 10240, 5, 74
2026/08/01 15:02:32.125, 0, NVIDIA GeForce RTX 3080, 5441, 4611, 10240, 5, 74
2026/08/01 15:02:32.238, 0, NVIDIA GeForce RTX 3080, 5441, 4611, 10240, 1, 12
2026/08/01 15:02:32.350, 0, NVIDIA GeForce RTX 3080, 5441, 4611, 10240, 1, 12
2026/08/01 15:02:32.463, 0, NVIDIA GeForce RTX 3080, 5441, 4611, 10240, 1, 12
2026/08/01 15:02:32.575, 0, NVIDIA GeForce RTX 3080, 5441, 4611, 10240, 1, 12
2026/08/01 15:02:32.684, 0, NVIDIA GeForce RTX 3080, 5441, 4611, 10240, 1, 12
2026/08/01 15:02:32.794, 0, NVIDIA GeForce RTX 3080, 5441, 4611, 10240, 1, 12
2026/08/01 15:02:32.907, 0, NVIDIA GeForce RTX 3080, 5441, 4611, 10240, 1, 12
2026/08/01 15:02:33.020, 0, NVIDIA GeForce RTX 3080, 5441, 4611, 10240, 1, 12
2026/08/01 15:02:33.133, 0, NVIDIA GeForce RTX 3080, 5851, 4201, 10240, 1, 12
2026/08/01 15:02:33.245, 0, NVIDIA GeForce RTX 3080, 5859, 4193, 10240, 45, 72
2026/08/01 15:02:33.357, 0, NVIDIA GeForce RTX 3080, 5859, 4193, 10240, 45, 72
2026/08/01 15:02:33.467, 0, NVIDIA GeForce RTX 3080, 5859, 4193, 10240, 45, 72
2026/08/01 15:02:33.579, 0, NVIDIA GeForce RTX 3080, 5859, 4193, 10240, 45, 72
2026/08/01 15:02:33.690, 0, NVIDIA GeForce RTX 3080, 5859, 4193, 10240, 45, 72
2026/08/01 15:02:33.802, 0, NVIDIA GeForce RTX 3080, 5859, 4193, 10240, 74, 97
2026/08/01 15:02:33.915, 0, NVIDIA GeForce RTX 3080, 5859, 4193, 10240, 74, 97
