model,prompt_tokens,batch_size,ubatch_size,n_gen,repetitions,bench_json,gpu_csv 
"LLMs\Llama-3.2-3B-Instruct-Q8_0.gguf",512,2048,2048,512,100,"generate-bench-results\Llama-3.2-3B-Instruct-Q8_0_p512_b2048_ub2048_n512_r100.json","generate-bench-results\Llama-3.2-3B-Instruct-Q8_0_p512_b2048_ub2048_n512_r100.gpu.csv" 
"LLMs\Llama-3.2-3B-Instruct-Q8_0.gguf",512,2560,2048,512,100,"generate-bench-results\Llama-3.2-3B-Instruct-Q8_0_p512_b2560_ub2048_n512_r100.json","generate-bench-results\Llama-3.2-3B-Instruct-Q8_0_p512_b2560_ub2048_n512_r100.gpu.csv" 
"LLMs\Llama-3.2-3B-Instruct-Q8_0.gguf",512,3072,2048,512,100,"generate-bench-results\Llama-3.2-3B-Instruct-Q8_0_p512_b3072_ub2048_n512_r100.json","generate-bench-results\Llama-3.2-3B-Instruct-Q8_0_p512_b3072_ub2048_n512_r100.gpu.csv" 
"LLMs\Llama-3.2-3B-Instruct-Q8_0.gguf",512,3584,2048,512,100,"generate-bench-results\Llama-3.2-3B-Instruct-Q8_0_p512_b3584_ub2048_n512_r100.json","generate-bench-results\Llama-3.2-3B-Instruct-Q8_0_p512_b3584_ub2048_n512_r100.gpu.csv" 
"LLMs\Llama-3.2-3B-Instruct-Q8_0.gguf",512,4096,2048,512,100,"generate-bench-results\Llama-3.2-3B-Instruct-Q8_0_p512_b4096_ub2048_n512_r100.json","generate-bench-results\Llama-3.2-3B-Instruct-Q8_0_p512_b4096_ub2048_n512_r100.gpu.csv" 
"LLMs\Llama-3.2-3B-Instruct-Q8_0.gguf",512,2048,2048,768,100,"generate-bench-results\Llama-3.2-3B-Instruct-Q8_0_p512_b2048_ub2048_n768_r100.json","generate-bench-results\Llama-3.2-3B-Instruct-Q8_0_p512_b2048_ub2048_n768_r100.gpu.csv" 
"LLMs\Llama-3.2-3B-Instruct-Q8_0.gguf",512,2560,2048,768,100,"generate-bench-results\Llama-3.2-3B-Instruct-Q8_0_p512_b2560_ub2048_n768_r100.json","generate-bench-results\Llama-3.2-3B-Instruct-Q8_0_p512_b2560_ub2048_n768_r100.gpu.csv" 
"LLMs\Llama-3.2-3B-Instruct-Q8_0.gguf",512,3072,2048,768,100,"generate-bench-results\Llama-3.2-3B-Instruct-Q8_0_p512_b3072_ub2048_n768_r100.json","generate-bench-results\Llama-3.2-3B-Instruct-Q8_0_p512_b3072_ub2048_n768_r100.gpu.csv" 
"LLMs\Llama-3.2-3B-Instruct-Q8_0.gguf",512,3584,2048,768,100,"generate-bench-results\Llama-3.2-3B-Instruct-Q8_0_p512_b3584_ub2048_n768_r100.json","generate-bench-results\Llama-3.2-3B-Instruct-Q8_0_p512_b3584_ub2048_n768_r100.gpu.csv" 
"LLMs\Llama-3.2-3B-Instruct-Q8_0.gguf",512,4096,2048,768,100,"generate-bench-results\Llama-3.2-3B-Instruct-Q8_0_p512_b4096_ub2048_n768_r100.json","generate-bench-results\Llama-3.2-3B-Instruct-Q8_0_p512_b4096_ub2048_n768_r100.gpu.csv" 
"LLMs\Llama-3.2-3B-Instruct-Q8_0.gguf",512,2048,2048,1024,100,"generate-bench-results\Llama-3.2-3B-Instruct-Q8_0_p512_b2048_ub2048_n1024_r100.json","generate-bench-results\Llama-3.2-3B-Instruct-Q8_0_p512_b2048_ub2048_n1024_r100.gpu.csv" 
"LLMs\Llama-3.2-3B-Instruct-Q8_0.gguf",512,2560,2048,1024,100,"generate-bench-results\Llama-3.2-3B-Instruct-Q8_0_p512_b2560_ub2048_n1024_r100.json","generate-bench-results\Llama-3.2-3B-Instruct-Q8_0_p512_b2560_ub2048_n1024_r100.gpu.csv" 
"LLMs\Llama-3.2-3B-Instruct-Q8_0.gguf",512,3072,2048,1024,100,"generate-bench-results\Llama-3.2-3B-Instruct-Q8_0_p512_b3072_ub2048_n1024_r100.json","generate-bench-results\Llama-3.2-3B-Instruct-Q8_0_p512_b3072_ub2048_n1024_r100.gpu.csv" 
"LLMs\Llama-3.2-3B-Instruct-Q8_0.gguf",512,3584,2048,1024,100,"generate-bench-results\Llama-3.2-3B-Instruct-Q8_0_p512_b3584_ub2048_n1024_r100.json","generate-bench-results\Llama-3.2-3B-Instruct-Q8_0_p512_b3584_ub2048_n1024_r100.gpu.csv" 
"LLMs\Llama-3.2-3B-Instruct-Q8_0.gguf",512,4096,2048,1024,100,"generate-bench-results\Llama-3.2-3B-Instruct-Q8_0_p512_b4096_ub2048_n1024_r100.json","generate-bench-results\Llama-3.2-3B-Instruct-Q8_0_p512_b4096_ub2048_n1024_r100.gpu.csv" 
"LLMs\Llama-3.2-3B-Instruct-Q8_0.gguf",512,2048,2048,1280,100,"generate-bench-results\Llama-3.2-3B-Instruct-Q8_0_p512_b2048_ub2048_n1280_r100.json","generate-bench-results\Llama-3.2-3B-Instruct-Q8_0_p512_b2048_ub2048_n1280_r100.gpu.csv" 
"LLMs\Llama-3.2-3B-Instruct-Q8_0.gguf",512,2560,2048,1280,100,"generate-bench-results\Llama-3.2-3B-Instruct-Q8_0_p512_b2560_ub2048_n1280_r100.json","generate-bench-results\Llama-3.2-3B-Instruct-Q8_0_p512_b2560_ub2048_n1280_r100.gpu.csv" 
"LLMs\Llama-3.2-3B-Instruct-Q8_0.gguf",512,3072,2048,1280,100,"generate-bench-results\Llama-3.2-3B-Instruct-Q8_0_p512_b3072_ub2048_n1280_r100.json","generate-bench-results\Llama-3.2-3B-Instruct-Q8_0_p512_b3072_ub2048_n1280_r100.gpu.csv" 
"LLMs\Llama-3.2-3B-Instruct-Q8_0.gguf",512,3584,2048,1280,100,"generate-bench-results\Llama-3.2-3B-Instruct-Q8_0_p512_b3584_ub2048_n1280_r100.json","generate-bench-results\Llama-3.2-3B-Instruct-Q8_0_p512_b3584_ub2048_n1280_r100.gpu.csv" 
"LLMs\Llama-3.2-3B-Instruct-Q8_0.gguf",512,4096,2048,1280,100,"generate-bench-results\Llama-3.2-3B-Instruct-Q8_0_p512_b4096_ub2048_n1280_r100.json","generate-bench-results\Llama-3.2-3B-Instruct-Q8_0_p512_b4096_ub2048_n1280_r100.gpu.csv" 
"LLMs\Llama-3.2-3B-Instruct-Q8_0.gguf",512,2048,2048,1536,100,"generate-bench-results\Llama-3.2-3B-Instruct-Q8_0_p512_b2048_ub2048_n1536_r100.json","generate-bench-results\Llama-3.2-3B-Instruct-Q8_0_p512_b2048_ub2048_n1536_r100.gpu.csv" 
"LLMs\Llama-3.2-3B-Instruct-Q8_0.gguf",512,2560,2048,1536,100,"generate-bench-results\Llama-3.2-3B-Instruct-Q8_0_p512_b2560_ub2048_n1536_r100.json","generate-bench-results\Llama-3.2-3B-Instruct-Q8_0_p512_b2560_ub2048_n1536_r100.gpu.csv" 
"LLMs\Llama-3.2-3B-Instruct-Q8_0.gguf",512,3072,2048,1536,100,"generate-bench-results\Llama-3.2-3B-Instruct-Q8_0_p512_b3072_ub2048_n1536_r100.json","generate-bench-results\Llama-3.2-3B-Instruct-Q8_0_p512_b3072_ub2048_n1536_r100.gpu.csv" 
"LLMs\Llama-3.2-3B-Instruct-Q8_0.gguf",512,3584,2048,1536,100,"generate-bench-results\Llama-3.2-3B-Instruct-Q8_0_p512_b3584_ub2048_n1536_r100.json","generate-bench-results\Llama-3.2-3B-Instruct-Q8_0_p512_b3584_ub2048_n1536_r100.gpu.csv" 
"LLMs\Llama-3.2-3B-Instruct-Q8_0.gguf",512,4096,2048,1536,100,"generate-bench-results\Llama-3.2-3B-Instruct-Q8_0_p512_b4096_ub2048_n1536_r100.json","generate-bench-results\Llama-3.2-3B-Instruct-Q8_0_p512_b4096_ub2048_n1536_r100.gpu.csv" 
"LLMs\Llama-3.2-3B-Instruct-Q8_0.gguf",512,2048,2048,1792,100,"generate-bench-results\Llama-3.2-3B-Instruct-Q8_0_p512_b2048_ub2048_n1792_r100.json","generate-bench-results\Llama-3.2-3B-Instruct-Q8_0_p512_b2048_ub2048_n1792_r100.gpu.csv" 
"LLMs\Llama-3.2-3B-Instruct-Q8_0.gguf",512,2560,2048,1792,100,"generate-bench-results\Llama-3.2-3B-Instruct-Q8_0_p512_b2560_ub2048_n1792_r100.json","generate-bench-results\Llama-3.2-3B-Instruct-Q8_0_p512_b2560_ub2048_n1792_r100.gpu.csv" 
