model,prompt_tokens,batch_size,ubatch_size,n_gen,repetitions,bench_json,gpu_csv 
"LLMs\Llama-3.2-3B-Instruct-Q8_0.gguf",512,4096,2048,512,10,"generate-bench-results\Llama-3.2-3B-Instruct-Q8_0_p512_b4096_ub2048_n512_r10.json","generate-bench-results\Llama-3.2-3B-Instruct-Q8_0_p512_b4096_ub2048_n512_r10.gpu.csv" 
"LLMs\Llama-3.2-3B-Instruct-Q8_0.gguf",512,4096,2560,512,10,"generate-bench-results\Llama-3.2-3B-Instruct-Q8_0_p512_b4096_ub2560_n512_r10.json","generate-bench-results\Llama-3.2-3B-Instruct-Q8_0_p512_b4096_ub2560_n512_r10.gpu.csv" 
"LLMs\Llama-3.2-3B-Instruct-Q8_0.gguf",512,4096,3072,512,10,"generate-bench-results\Llama-3.2-3B-Instruct-Q8_0_p512_b4096_ub3072_n512_r10.json","generate-bench-results\Llama-3.2-3B-Instruct-Q8_0_p512_b4096_ub3072_n512_r10.gpu.csv" 
"LLMs\Llama-3.2-3B-Instruct-Q8_0.gguf",512,4096,3584,512,10,"generate-bench-results\Llama-3.2-3B-Instruct-Q8_0_p512_b4096_ub3584_n512_r10.json","generate-bench-results\Llama-3.2-3B-Instruct-Q8_0_p512_b4096_ub3584_n512_r10.gpu.csv" 
"LLMs\Llama-3.2-3B-Instruct-Q8_0.gguf",512,4096,4096,512,10,"generate-bench-results\Llama-3.2-3B-Instruct-Q8_0_p512_b4096_ub4096_n512_r10.json","generate-bench-results\Llama-3.2-3B-Instruct-Q8_0_p512_b4096_ub4096_n512_r10.gpu.csv" 
"LLMs\Llama-3.2-3B-Instruct-Q8_0.gguf",512,4096,2048,768,10,"generate-bench-results\Llama-3.2-3B-Instruct-Q8_0_p512_b4096_ub2048_n768_r10.json","generate-bench-results\Llama-3.2-3B-Instruct-Q8_0_p512_b4096_ub2048_n768_r10.gpu.csv" 
"LLMs\Llama-3.2-3B-Instruct-Q8_0.gguf",512,4096,2560,768,10,"generate-bench-results\Llama-3.2-3B-Instruct-Q8_0_p512_b4096_ub2560_n768_r10.json","generate-bench-results\Llama-3.2-3B-Instruct-Q8_0_p512_b4096_ub2560_n768_r10.gpu.csv" 
"LLMs\Llama-3.2-3B-Instruct-Q8_0.gguf",512,4096,3072,768,10,"generate-bench-results\Llama-3.2-3B-Instruct-Q8_0_p512_b4096_ub3072_n768_r10.json","generate-bench-results\Llama-3.2-3B-Instruct-Q8_0_p512_b4096_ub3072_n768_r10.gpu.csv" 
"LLMs\Llama-3.2-3B-Instruct-Q8_0.gguf",512,4096,3584,768,10,"generate-bench-results\Llama-3.2-3B-Instruct-Q8_0_p512_b4096_ub3584_n768_r10.json","generate-bench-results\Llama-3.2-3B-Instruct-Q8_0_p512_b4096_ub3584_n768_r10.gpu.csv" 
"LLMs\Llama-3.2-3B-Instruct-Q8_0.gguf",512,4096,4096,768,10,"generate-bench-results\Llama-3.2-3B-Instruct-Q8_0_p512_b4096_ub4096_n768_r10.json","generate-bench-results\Llama-3.2-3B-Instruct-Q8_0_p512_b4096_ub4096_n768_r10.gpu.csv" 
